flow,total_fiat,total_biat,min_fiat,min_biat,max_fiat,max_biat,mean_fiat,mean_biat,std_fiat,std_biat,feduration,total_fpackets,total_bpackets,total_fpktl,total_bpktl,min_fpktl,min_bpktl,max_fpktl,max_bpktl,mean_fpktl,mean_bpktl,std_fpktl,std_bpktl,avgPacketSize,fPktsPerSecond,bPktsPerSecond,flowPktsPerSecond,flowBytesPerSecond,label
192.168.140.130:57556<->192.168.140.2:53,0,0,1649879302.148642,0,1649879302.148642,1649879302.148642,0.0,0.0,0.0,0.0,0.010435,1,1,89,149,89,149,89,149,89.0,149.0,0.0,0.0,119.0,95.83133684714901772879731672,95.83133684714901772879731672,191.6626736942980354575946334,22807.85816962146621945376138,Win7_Yandex
192.168.140.130:50615<->87.250.250.114:443,0.196187,0.183532,0.001890,0.000001,0.116963,0.116963,0.0392374,0.030588666666666667,0.04595468612992586,0.03943091028453016,0.196187,6,7,646,2873,54,60,271,1514,107.66666666666667,410.42857142857144,87.86504803769623,589.4694951516029,270.6923076923077,30.58306615626927370315056553,35.68024384898081932034232645,66.26331000525009302349289199,17936.96830065192902689780668,Win7_Yandex
192.168.140.130:50616<->178.154.131.216:443,0.056660,0.050922,0.000111,0.00000,0.017441,0.017441,0.004047142857142858,0.0013762702702702703,0.0053582268717170985,0.0036144959510947695,0.056660,15,38,1517,43503,54,60,325,1514,101.13333333333334,1144.8157894736842,84.0933721413004,580.3552898411948,849.433962264151,264.7370278856336039534062831,670.6671373102717966819625838,935.4041651959054006353688669,794564.0663607483233321567243,Win7_Yandex
192.168.140.130:50617<->104.21.50.133:50617,0,0,1649879302.82871,0,1649879302.82871,1649879302.82871,0.0,0.0,0.0,0.0,1,1,0,66,0,66,0,66,0,66.0,0.0,0.0,0.0,66.0,1,1,1,66.0,Win7_Yandex
192.168.100.9:57010<->149.154.167.41:443,105.474266,105.370106,0.090861,0.000000,44.890756,44.890756,15.067752285714286,15.052872285714287,20.07516533470136,20.14779323219384,105.474266,8,8,1453,806,54,54,319,159,181.625,100.75,111.54235262254167,49.72423956180728,141.1875,0.07584788501870209743863019630,0.07584788501870209743863019630,0.1516957700374041948772603926,21.41754653215600476423320168,Win10_Chrome
192.168.100.9:58024<->213.180.193.234:80,90.027678,96.657430,45.010919,6.631612,45.016759,45.016759,45.013839,32.219143333333335,0.004129503602129438,22.15945232506312,96.666923,3,4,165,252,55,54,55,66,55.0,63.0,0.0,6.0,59.57142857142857,0.03103440046395187317589492323,0.04137920061860249756785989764,0.07241360108255437074375482087,4.313781664489310371449394329,Win10_Chrome
192.168.100.9:56859<->239.255.255.250:56859,3.001579,0,1.000091,0,1.001156,1.001156,1.0005263333333334,0.0,0.0005584624726276004,0.0,3.001579,4,0,864,0,216,0,216,0,216.0,0.0,0.0,0.0,216.0,1.332631924730283627384120158,0E+6,1.332631924730283627384120158,287.8484957417412635149699541,Win10_Chrome
192.168.100.9:58145<->108.177.14.136:443,90.218983,90.218616,0.000095,0.000000,45.033444,45.033444,5.012165722222222,5.012145333333333,14.559549370154041,14.558259605776113,90.239273,19,19,2357,9526,54,56,571,1466,124.05263157894737,501.36842105263156,154.83987201270958,609.2438127644899,312.7105263157895,0.2105513416536500687455671324,0.2105513416536500687455671324,0.4211026833073001374911342648,131.6832417300170403633460123,Win10_Chrome
192.168.100.9:63639<->192.168.100.1:53,0,0,1649875825.88378,0,1649875825.88378,1649875825.88378,0.0,0.0,0.0,0.0,0.004723,1,1,89,105,89,105,89,105,89.0,105.0,0.0,0.0,97.0,211.7298327334321405886089350,211.7298327334321405886089350,423.4596654668642811772178700,41075.58755028583527419013339,Win10_Chrome
192.168.100.9:61533<->192.168.100.1:53,0,0,1649875825.886398,0,1649875825.886398,1649875825.886398,0.0,0.0,0.0,0.0,0.007654,1,1,79,95,79,95,79,95,79.0,95.0,0.0,0.0,87.0,130.6506401881369218709171675,130.6506401881369218709171675,261.3012803762738437418343350,22733.21139273582440553958714,Win10_Chrome
192.168.100.9:58146<->173.194.73.94:443,90.169771,90.172685,0.000047,0.000000,45.032194,45.032194,5.6356106875,5.304275588235294,15.378695087933204,14.9528367545191,90.190192,17,18,2077,6699,54,54,571,1466,122.17647058823529,372.1666666666667,138.24174265309557,531.4251925662893,250.74285714285713,0.1884905622553725132329244847,0.1995782423880414845995671015,0.3880688046434139978324915862,97.30548084430289271365560459,Win10_Chrome
192.168.100.9:58147<->173.194.222.84:443,90.177691,90.175373,0.000135,0.000000,45.033024,45.033024,6.936745461538461,5.6359608125,16.90728199458884,15.378479473839036,90.195811,14,17,2108,8168,54,54,639,1466,150.57142857142858,480.47058823529414,195.23505134766472,589.1644632069066,331.48387096774195,0.1552178515252775985350361781,0.1884788197092656553639725020,0.3436966712345432538990086801,113.9299030195537573247165547,Win10_Chrome
192.168.100.9:58148<->74.125.205.198:443,113.652798,113.665982,0.000000,0.000000,19.867164,19.867164,0.61767825,0.454663928,2.5642314148939396,2.2172682331728817,113.686618,185,251,73361,124549,54,54,1466,1466,396.54594594594596,496.21115537848607,530.4404848160111,614.4709067442167,453.92201834862385,1.627280354139833766538819899,2.207823615616747434601317809,3.835103969756581201140137707,1740.838134528727031003772141,Win10_Chrome
192.168.100.9:58150<->173.194.2.95:443,90.056620,90.057239,0.000610,0.000000,45.009850,45.009850,10.00629111111111,10.006359888888888,19.83050958815179,19.84450897500036,90.062868,10,10,2129,6284,54,54,1048,1462,212.9,628.4,334.5104050864653,645.2083556667739,420.65,0.1110335504749859842349235425,0.1110335504749859842349235425,0.2220671009499719684698470850,93.41252601460570853684117632,Win10_Chrome
192.168.100.9:58151<->173.194.2.95:443,90.075038,90.072209,0.000184,0.000059,45.014515,45.014515,10.008337555555556,10.008023222222223,19.830678819137514,19.84744003920653,90.079625,10,10,2135,6284,54,54,1054,1462,213.5,628.4,336.17596252227463,645.2083556667739,420.95,0.1110128955354776399213473635,0.1110128955354776399213473635,0.2220257910709552798426947270,93.46175675131862504978234534,Win10_Chrome
192.168.100.9:58152<->64.233.162.119:443,92.428344,92.430539,0.000049,0.000000,45.018284,45.018284,3.423272,2.7185452647058823,11.987388286591035,10.74091700605971,92.447959,28,35,3635,26135,54,54,749,1466,129.82142857142858,746.7142857142857,160.5912809706975,650.0630997168239,472.53968253968253,0.3028731007463344864108898283,0.3785913759329181080136122854,0.6814644766792525944245021137,322.0190074720849164447210782,Win10_Chrome
192.168.100.9:58153<->173.194.222.94:443,64.029111,64.008727,0.000149,0.000000,44.958645,44.958645,7.114345666666667,9.144103857142856,15.472210131659915,24.16863590474289,64.029111,10,8,1134,5391,54,54,571,1466,113.4,673.875,162.01728302869418,685.3246232886385,362.5,0.1561789605356226170311813325,0.1249431684284980936249450660,0.2811221289641207106561263985,101.9067717494937576128458195,Win10_Chrome
